"MasterID","yr","COMID","pChem","pHab","pOverall","biological_condition","stress_condition","SQI","County","SMC_region","Regional_board","Constraint_class","ASCI","blc","bs","Cond","CSCI","Ev_FlowHab","H_AqHab","H_SubNat","hy","CRAM","IPI","PCT_SAFN","ps","TN","TP","XCMG","lon","lat","ASCI_ptile","blc_ptile","bs_ptile","Cond_ptile","CRAM_ptile","CSCI_ptile","Ev_FlowHab_ptile","H_AqHab_ptile","H_SubNat_ptile","hy_ptile","IPI_ptile","PCT_SAFN_ptile","ps_ptile","TN_ptile","TP_ptile","XCMG_ptile"
"905M21721",2015,20328674,0.999963060065965,0.909217871515278,0.999996646514162,"Impacted for CSCI and ASCI","Stressed by chemistry and habitat degradation","Impacted and stressed","San Diego","Central San Diego","San Diego","possibly constrained",0.76,100,61.1,4014,0.69,0.6,0.69,0.9,58.3,70,1.01,0.81,62.5,0.5,0.21,0.8,-117.16525,33.00843,0.531835205992509,1,0.51310861423221,0.955056179775281,0.546816479400749,0.49063670411985,0.385767790262172,0.393258426966292,0.745318352059925,0.400749063670412,0.745318352059925,0.662921348314607,0.565543071161049,0.318352059925094,0.801498127340824,0.756554307116105
"905WE1018",2015,20329672,0.584742009339448,0.44986843849224,0.771553473169336,"Impacted for CSCI","Low stress","Impacted by unknown stress","San Diego","Central San Diego","San Diego","possibly unconstrained",0.95,100,66.7,389,0.76,0.51,0.81,0.96,83.3,78,1.09,0.76,62.5,0.34,0.09,0.96,-116.68157,33.12423,0.823970037453184,1,0.565543071161049,0.123595505617978,0.756554307116105,0.588014981273408,0.295880149812734,0.666666666666667,0.872659176029963,0.883895131086142,0.898876404494382,0.561797752808989,0.565543071161049,0.243445692883895,0.531835205992509,0.887640449438202
"906S02902",2011,20331166,0.999738858275825,0.889635137610878,0.999971179129547,"Impacted for CSCI and ASCI","Stressed by chemistry degradation","Impacted and stressed","San Diego","Central San Diego","San Diego","likely constrained",0.75,75,72,2996,0.78,0.75,0.88,0.94,58,64,1.18,0.8,50,1.95,0.22,1,-117.064431,32.9490725,0.524344569288389,0.415730337078652,0.700374531835206,0.910112359550562,0.397003745318352,0.614232209737828,0.655430711610487,0.820224719101124,0.808988764044944,0.363295880149813,0.9812734082397,0.644194756554307,0.524344569288389,0.647940074906367,0.808988764044944,1
"SMC00345",2011,20341801,0.997140818374284,0.765048443779939,0.999328230827522,"Impacted for CSCI and ASCI","Stressed by chemistry degradation","Impacted and stressed","San Diego","Central San Diego","San Diego","likely constrained",0.66,75,64,2155,0.58,0.26,0.5,0.62,75,66,0.86,0.55,50,6.5,0.1,1,-117.22484,33.21048,0.344569288389513,0.415730337078652,0.561797752808989,0.779026217228464,0.453183520599251,0.307116104868914,0.108614232209738,0.235955056179775,0.359550561797753,0.756554307116105,0.464419475655431,0.389513108614232,0.524344569288389,0.872659176029963,0.558052434456929,1
"SMC00473",2009,NA,0.998932618449589,0.772518647553822,0.999757190601336,"Impacted for ASCI","Stressed by chemistry degradation","Impacted and stressed","San Diego","Central San Diego","San Diego",NA,0.67,79,69,2908,0.81,0.79,0.86,0.82,75,75,1.04,0.62,75,0.92,0.09,0.82,-117.15802,33.03916,0.378277153558052,0.468164794007491,0.647940074906367,0.906367041198502,0.681647940074906,0.640449438202247,0.719101123595506,0.782771535580524,0.606741573033708,0.756554307116105,0.816479400749064,0.426966292134831,0.842696629213483,0.49063670411985,0.531835205992509,0.786516853932584
"SMC00710",2009,20331322,0.983485785451592,0.700854534177286,0.99505984759622,"Impacted for CSCI and ASCI","Stressed by chemistry degradation","Impacted and stressed","San Diego","Central San Diego","San Diego","likely constrained",0.67,83,75,2316,0.67,0.73,0.72,0.73,67,75,1.06,1,75,0.33,0.03,0.83,-117.20028,32.88934,0.378277153558052,0.535580524344569,0.771535580524345,0.805243445692884,0.681647940074906,0.441947565543071,0.599250936329588,0.471910112359551,0.471910112359551,0.543071161048689,0.850187265917603,1,0.842696629213483,0.232209737827715,0.307116104868914,0.790262172284644
"SMC00729",2009,20341931,0.993846221915826,0.950956579369267,0.99969819767295,"Impacted for CSCI and ASCI","Stressed by chemistry and habitat degradation","Impacted and stressed","San Diego","Central San Diego","San Diego","likely constrained",0.78,75,67,1745,0.69,0.78,0.73,0.57,67,68,0.86,0.33,63,1.48,0.22,0.75,-117.17488,33.13525,0.569288389513109,0.415730337078652,0.606741573033708,0.659176029962547,0.51310861423221,0.49063670411985,0.700374531835206,0.50187265917603,0.325842696629214,0.543071161048689,0.464419475655431,0.247191011235955,0.677902621722846,0.588014981273408,0.808988764044944,0.719101123595506
"SMC01158",2009,20331138,0.997912023460871,0.953676860924699,0.999903278372392,"Impacted for CSCI and ASCI","Stressed by chemistry and habitat degradation","Impacted and stressed","San Diego","Central San Diego","San Diego","possibly constrained",0.69,79,75,2735,0.5,0.25,0.91,0.57,67,65,0.73,0.38,38,0.52,0.08,0.6,-117.16676,32.96281,0.408239700374532,0.468164794007491,0.771535580524345,0.872659176029963,0.419475655430712,0.209737827715356,0.0973782771535581,0.880149812734082,0.325842696629214,0.543071161048689,0.333333333333333,0.262172284644195,0.314606741573034,0.325842696629214,0.48314606741573,0.535580524344569
"SMC01174",2011,20329182,0.991818810499727,0.832032254146224,0.998625824041236,"Healthy","Stressed by chemistry degradation","Healthy and resilient","San Diego","Central San Diego","San Diego","possibly unconstrained",0.89,100,86,1764,0.81,0.37,0.62,0.77,67,82,0.97,0.67,75,1,0.18,1,-117.01646,33.01677,0.737827715355805,1,0.917602996254682,0.670411985018727,0.816479400749064,0.640449438202247,0.187265917602996,0.310861423220974,0.531835205992509,0.543071161048689,0.670411985018727,0.48314606741573,0.842696629213483,0.524344569288389,0.752808988764045,1
"SMC01201",2010,20328602,0.995271472021659,0.898999451170468,0.999522416079032,"Impacted for ASCI","Stressed by chemistry degradation","Impacted and stressed","San Diego","Central San Diego","San Diego","likely constrained",0.46,42,42,2090,0.93,0.66,0.78,0.61,67,47,0.85,0.67,38,4.3,0.08,0.58,-117.05528,33.08584,0.0749063670411985,0.116104868913858,0.277153558052434,0.752808988764045,0.243445692883895,0.760299625468165,0.49812734082397,0.610486891385768,0.355805243445693,0.543071161048689,0.453183520599251,0.48314606741573,0.314606741573034,0.782771535580524,0.48314606741573,0.52059925093633
"SMC03222",2012,20328660,0.99633451646899,0.999205100380953,0.999997086308538,"Impacted for CSCI and ASCI","Stressed by chemistry and habitat degradation","Impacted and stressed","San Diego","Central San Diego","San Diego","likely constrained",0.62,25,31,2112,0.6,0.98,0.41,0,33,29,0.48,0.26,25,1.79,0.14,0.28,-117.06725,33.02209,0.247191011235955,0.0449438202247191,0.191011235955056,0.767790262172285,0.0411985018726592,0.337078651685393,0.921348314606742,0.205992509363296,0.101123595505618,0.134831460674157,0.209737827715356,0.202247191011236,0.213483146067416,0.629213483146067,0.681647940074906,0.292134831460674
"SMC03929",2012,20342541,0.990181074052213,0.498380774394077,0.995074637969789,"Impacted for ASCI","Stressed by chemistry degradation","Impacted and stressed","San Diego","Central San Diego","San Diego","likely constrained",0.52,92,83,2189,0.84,0.98,0.91,0.98,75,85,1.25,0.98,88,1.26,0.05,0.93,-117.30453,33.17865,0.119850187265918,0.756554307116105,0.883895131086142,0.782771535580524,0.876404494382023,0.681647940074906,0.921348314606742,0.880149812734082,0.898876404494382,0.756554307116105,0.99625468164794,0.850187265917603,0.958801498127341,0.561797752808989,0.400749063670412,0.865168539325843
"SMC04294",2013,20331208,0.998804244916775,0.274070739025702,0.999131966396128,"Impacted for ASCI","Stressed by chemistry degradation","Impacted and stressed","San Diego","Central San Diego","San Diego","possibly constrained",0.75,100,80.6,2845,0.87,0.68,0.89,0.93,83.3,88,1.2,1,87.5,0.41,0.12,1,-117.14172,32.93776,0.524344569288389,1,0.835205992509363,0.895131086142322,0.940074906367041,0.704119850187266,0.51310861423221,0.835205992509363,0.794007490636704,0.883895131086142,0.99250936329588,1,0.861423220973783,0.280898876404494,0.632958801498127,1
"SMC04441",2013,20341861,0.999954957552685,0.787779424574202,0.999990441065912,"Impacted for CSCI and ASCI","Stressed by chemistry degradation","Impacted and stressed","San Diego","Central San Diego","San Diego","likely constrained",0.63,93.3,61.1,4284,0.5,0.12,0.72,0.65,66.7,68,0.91,0.81,50,0.69,0.08,0.93,-117.27688,33.17444,0.265917602996255,0.790262172284644,0.51310861423221,0.962546816479401,0.51310861423221,0.209737827715356,0.048689138576779,0.471910112359551,0.393258426966292,0.460674157303371,0.539325842696629,0.662921348314607,0.524344569288389,0.423220973782772,0.48314606741573,0.865168539325843
